SubBlock,BlockID,parameter,R0,R1,param_mask,reg_mask,defval_mask,param_minbit,reg_id
GlobalAnalog,1,ON_tot,34,5,1,2,2,0,0
GlobalAnalog,1,Ref_pa_cm,42,5,3,3,3,0,0
GlobalAnalog,1,Rf,41,5,15,240,128,0,0
GlobalAnalog,1,S_inv,43,5,7,28,8,0,0
GlobalAnalog,1,S_inv_buf,44,5,7,28,8,0,0
GlobalAnalog,1,S_noinv,43,5,7,224,64,0,0
GlobalAnalog,1,S_noinv_buf,44,5,7,224,64,0,0
GlobalAnalog,1,S_sk,42,5,7,224,64,0,0
GlobalAnalog,1,SelExtADC,42,5,1,8,8,0,0
GlobalAnalog,1,SelRisingEdge,43,5,1,2,0,0,0
GlobalAnalog,1,Sw_super_conv,33,5,1,2,2,0,0
GlobalAnalog,1,ref_adc,45,5,3,3,0,0,0
HalfWise,0,Adc_pedestal,76,11,255,255,0,0,0
HalfWise,0,Channel_off,68,11,1,8,0,0,0
HalfWise,0,DAC_CAL_CTDC_TOA,70,11,63,63,0,0,0
HalfWise,0,DAC_CAL_CTDC_TOT,69,11,63,63,0,0,0
HalfWise,0,DAC_CAL_FTDC_TOA,72,11,63,63,0,0,0
HalfWise,0,DAC_CAL_FTDC_TOT,71,11,63,63,0,0,0
HalfWise,0,DIS_TDC,74,11,1,128,0,0,0
HalfWise,0,ExtData,75,11,768,3,0,8,0
HalfWise,0,ExtData,77,11,255,255,0,0,1
HalfWise,0,Gain_conv,64,11,3,192,0,0,0
HalfWise,0,Gain_conv,78,11,4,128,0,2,1
HalfWise,0,HZ_inv,70,11,1,128,0,0,0
HalfWise,0,HZ_noinv,70,11,1,64,0,0,0
HalfWise,0,HighRange,68,11,1,4,0,0,0
HalfWise,0,IN_FTDC_ENCODER_TOA,73,11,63,63,0,0,0
HalfWise,0,IN_FTDC_ENCODER_TOT,74,11,63,63,0,0,0
HalfWise,0,Inputdac,64,11,63,63,0,0,0
HalfWise,0,LowRange,68,11,1,2,0,0,0
HalfWise,0,dacb,78,11,63,63,0,0,0
HalfWise,0,mask_AlignBuffer,75,11,1,128,0,0,0
HalfWise,0,mask_adc,69,11,1,128,0,0,0
HalfWise,0,mask_toa,65,11,1,1,0,0,0
HalfWise,0,mask_tot,68,11,1,32,0,0,0
HalfWise,0,probe_inv,67,11,1,1,0,0,0
HalfWise,0,probe_noinv,67,11,1,2,0,0,0
HalfWise,0,probe_pa,68,11,1,1,0,0,0
HalfWise,0,probe_toa,68,11,1,128,0,0,0
HalfWise,0,probe_tot,68,11,1,64,0,0,0
HalfWise,0,sel_trig_toa,65,11,1,2,0,0,0
HalfWise,0,sel_trig_tot,68,11,1,16,0,0,0
HalfWise,0,sign_dac,78,11,1,64,0,0,0
HalfWise,0,trim_inv,67,11,63,252,0,0,0
HalfWise,0,trim_toa,65,11,63,252,0,0,0
HalfWise,0,trim_tot,66,11,63,252,0,0,0
HalfWise,1,Adc_pedestal,140,5,255,255,0,0,0
HalfWise,1,Channel_off,132,5,1,8,0,0,0
HalfWise,1,DAC_CAL_CTDC_TOA,134,5,63,63,0,0,0
HalfWise,1,DAC_CAL_CTDC_TOT,133,5,63,63,0,0,0
HalfWise,1,DAC_CAL_FTDC_TOA,136,5,63,63,0,0,0
HalfWise,1,DAC_CAL_FTDC_TOT,135,5,63,63,0,0,0
HalfWise,1,DIS_TDC,138,5,1,128,0,0,0
HalfWise,1,ExtData,139,5,768,3,0,8,0
HalfWise,1,ExtData,141,5,255,255,0,0,1
HalfWise,1,Gain_conv,128,5,3,192,0,0,0
HalfWise,1,Gain_conv,142,5,4,128,0,2,1
HalfWise,1,HZ_inv,134,5,1,128,0,0,0
HalfWise,1,HZ_noinv,134,5,1,64,0,0,0
HalfWise,1,HighRange,132,5,1,4,0,0,0
HalfWise,1,IN_FTDC_ENCODER_TOA,137,5,63,63,0,0,0
HalfWise,1,IN_FTDC_ENCODER_TOT,138,5,63,63,0,0,0
HalfWise,1,Inputdac,128,5,63,63,0,0,0
HalfWise,1,LowRange,132,5,1,2,0,0,0
HalfWise,1,dacb,142,5,63,63,0,0,0
HalfWise,1,mask_AlignBuffer,139,5,1,128,0,0,0
HalfWise,1,mask_adc,133,5,1,128,0,0,0
HalfWise,1,mask_toa,129,5,1,1,0,0,0
HalfWise,1,mask_tot,132,5,1,32,0,0,0
HalfWise,1,probe_inv,131,5,1,1,0,0,0
HalfWise,1,probe_noinv,131,5,1,2,0,0,0
HalfWise,1,probe_pa,132,5,1,1,0,0,0
HalfWise,1,probe_toa,132,5,1,128,0,0,0
HalfWise,1,probe_tot,132,5,1,64,0,0,0
HalfWise,1,sel_trig_toa,129,5,1,2,0,0,0
HalfWise,1,sel_trig_tot,132,5,1,16,0,0,0
HalfWise,1,sign_dac,142,5,1,64,0,0,0
HalfWise,1,trim_inv,131,5,63,252,0,0,0
HalfWise,1,trim_toa,129,5,63,252,0,0,0
HalfWise,1,trim_tot,130,5,63,252,0,0,0
MasterTdc,0,BIAS_CAL_DAC_CTDC_P_D,4,11,3,3,0,0,0
MasterTdc,0,BIAS_CAL_DAC_CTDC_P_D,7,11,12,192,0,2,1
MasterTdc,0,BIAS_CAL_DAC_CTDC_P_EN,8,11,1,128,0,0,0
MasterTdc,0,BIAS_FOLLOWER_CAL_P_CTDC_D,2,11,15,15,0,0,0
MasterTdc,0,BIAS_FOLLOWER_CAL_P_CTDC_EN,2,11,1,16,0,0,0
MasterTdc,0,BIAS_FOLLOWER_CAL_P_FTDC_D,13,11,3,192,0,0,0
MasterTdc,0,BIAS_FOLLOWER_CAL_P_FTDC_D,14,11,12,192,0,2,1
MasterTdc,0,BIAS_FOLLOWER_CAL_P_FTDC_EN,10,11,1,2,0,0,0
MasterTdc,0,BIAS_I_CTDC_D,5,11,63,126,48,0,0
MasterTdc,0,BIAS_I_FTDC_D,11,11,63,126,48,0,0
MasterTdc,0,CALIB_CHANNEL_DLL,2,11,1,128,0,0,0
MasterTdc,0,CTDC_CALIB_FREQUENCY,4,11,63,252,8,0,0
MasterTdc,0,CTRL_IN_REF_CTDC_P_D,7,11,31,31,0,0,0
MasterTdc,0,CTRL_IN_REF_CTDC_P_EN,7,11,1,32,0,0,0
MasterTdc,0,CTRL_IN_REF_FTDC_P_D,14,11,31,31,0,0,0
MasterTdc,0,CTRL_IN_REF_FTDC_P_EN,14,11,1,32,0,0,0
MasterTdc,0,CTRL_IN_SIG_CTDC_P_D,8,11,31,31,0,0,0
MasterTdc,0,CTRL_IN_SIG_CTDC_P_EN,8,11,1,32,0,0,0
MasterTdc,0,CTRL_IN_SIG_FTDC_P_D,13,11,31,31,0,0,0
MasterTdc,0,CTRL_IN_SIG_FTDC_P_EN,13,11,1,32,0,0,0
MasterTdc,0,EN_MASTER_CTDC_DLL,3,11,1,128,128,0,0
MasterTdc,0,EN_MASTER_CTDC_VOUT_INIT,3,11,1,64,0,0,0
MasterTdc,0,EN_MASTER_FTDC_DLL,9,11,1,128,128,0,0
MasterTdc,0,EN_MASTER_FTDC_VOUT_INIT,9,11,1,64,0,0,0
MasterTdc,0,EN_REF_BG,11,11,1,1,1,0,0
MasterTdc,0,FOLLOWER_CTDC_EN,5,11,1,128,128,0,0
MasterTdc,0,FOLLOWER_FTDC_EN,11,11,1,128,128,0,0
MasterTdc,0,FTDC_CALIB_FREQUENCY,10,11,63,252,8,0,0
MasterTdc,0,GLOBAL_DISABLE_TOT_LIMIT,15,11,1,1,0,0,0
MasterTdc,0,GLOBAL_EN_BUFFER_CTDC,6,11,1,1,0,0,0
MasterTdc,0,GLOBAL_EN_BUFFER_FTDC,12,11,1,1,0,0,0
MasterTdc,0,GLOBAL_EN_TOT_PRIORITY,15,11,1,16,0,0,0
MasterTdc,0,GLOBAL_EN_TUNE_GAIN_DAC,15,11,1,32,0,0,0
MasterTdc,0,GLOBAL_FORCE_EN_CLK,15,11,1,2,0,0,0
MasterTdc,0,GLOBAL_FORCE_EN_OUTPUT_DATA,15,11,1,4,0,0,0
MasterTdc,0,GLOBAL_FORCE_EN_TOT,15,11,1,8,0,0,0
MasterTdc,0,GLOBAL_INIT_DAC_B_CTDC,8,11,1,64,0,0,0
MasterTdc,0,GLOBAL_LATENCY_TIME,1,11,15,30,20,0,0
MasterTdc,0,GLOBAL_MODE_FTDC_TOA,1,11,3,96,64,0,0
MasterTdc,0,GLOBAL_MODE_NO_TOT_SUB,1,11,1,1,0,0,0
MasterTdc,0,GLOBAL_MODE_TOA_DIRECT_OUTPUT,5,11,1,1,0,0,0
MasterTdc,0,GLOBAL_SEU_TIME_OUT,1,11,1,128,128,0,0
MasterTdc,0,GLOBAL_TA_SELECT_GAIN_TOA,0,11,15,15,7,0,0
MasterTdc,0,GLOBAL_TA_SELECT_GAIN_TOT,0,11,15,240,48,0,0
MasterTdc,0,INV_FRONT_40MHZ,2,11,1,32,0,0,0
MasterTdc,0,START_COUNTER,2,11,1,64,64,0,0
MasterTdc,0,VD_CTDC_N_D,6,11,31,124,0,0,0
MasterTdc,0,VD_CTDC_N_DAC_EN,6,11,1,128,0,0,0
MasterTdc,0,VD_CTDC_N_FORCE_MAX,6,11,1,2,2,0,0
MasterTdc,0,VD_CTDC_P_D,3,11,31,31,0,0,0
MasterTdc,0,VD_CTDC_P_DAC_EN,3,11,1,32,0,0,0
MasterTdc,0,VD_FTDC_N_D,12,11,31,124,0,0,0
MasterTdc,0,VD_FTDC_N_DAC_EN,12,11,1,128,0,0,0
MasterTdc,0,VD_FTDC_N_FORCE_MAX,12,11,1,2,2,0,0
MasterTdc,0,VD_FTDC_P_D,9,11,31,31,0,0,0
MasterTdc,0,VD_FTDC_P_DAC_EN,9,11,1,32,0,0,0
MasterTdc,0,sel_clk_rcg_toa,15,11,1,64,0,0,0
MasterTdc,0,sel_clk_rcg_tot,15,11,1,128,0,0,0
MasterTdc,1,BIAS_CAL_DAC_CTDC_P_D,68,5,3,3,0,0,0
MasterTdc,1,BIAS_CAL_DAC_CTDC_P_D,71,5,12,192,0,2,1
MasterTdc,1,BIAS_CAL_DAC_CTDC_P_EN,72,5,1,128,0,0,0
MasterTdc,1,BIAS_FOLLOWER_CAL_P_CTDC_D,66,5,15,15,0,0,0
MasterTdc,1,BIAS_FOLLOWER_CAL_P_CTDC_EN,66,5,1,16,0,0,0
MasterTdc,1,BIAS_FOLLOWER_CAL_P_FTDC_D,77,5,3,192,0,0,0
MasterTdc,1,BIAS_FOLLOWER_CAL_P_FTDC_D,78,5,12,192,0,2,1
MasterTdc,1,BIAS_FOLLOWER_CAL_P_FTDC_EN,74,5,1,2,0,0,0
MasterTdc,1,BIAS_I_CTDC_D,69,5,63,126,48,0,0
MasterTdc,1,BIAS_I_FTDC_D,75,5,63,126,48,0,0
MasterTdc,1,CALIB_CHANNEL_DLL,66,5,1,128,0,0,0
MasterTdc,1,CTDC_CALIB_FREQUENCY,68,5,63,252,8,0,0
MasterTdc,1,CTRL_IN_REF_CTDC_P_D,71,5,31,31,0,0,0
MasterTdc,1,CTRL_IN_REF_CTDC_P_EN,71,5,1,32,0,0,0
MasterTdc,1,CTRL_IN_REF_FTDC_P_D,78,5,31,31,0,0,0
MasterTdc,1,CTRL_IN_REF_FTDC_P_EN,78,5,1,32,0,0,0
MasterTdc,1,CTRL_IN_SIG_CTDC_P_D,72,5,31,31,0,0,0
MasterTdc,1,CTRL_IN_SIG_CTDC_P_EN,72,5,1,32,0,0,0
MasterTdc,1,CTRL_IN_SIG_FTDC_P_D,77,5,31,31,0,0,0
MasterTdc,1,CTRL_IN_SIG_FTDC_P_EN,77,5,1,32,0,0,0
MasterTdc,1,EN_MASTER_CTDC_DLL,67,5,1,128,128,0,0
MasterTdc,1,EN_MASTER_CTDC_VOUT_INIT,67,5,1,64,0,0,0
MasterTdc,1,EN_MASTER_FTDC_DLL,73,5,1,128,128,0,0
MasterTdc,1,EN_MASTER_FTDC_VOUT_INIT,73,5,1,64,0,0,0
MasterTdc,1,EN_REF_BG,75,5,1,1,1,0,0
MasterTdc,1,FOLLOWER_CTDC_EN,69,5,1,128,128,0,0
MasterTdc,1,FOLLOWER_FTDC_EN,75,5,1,128,128,0,0
MasterTdc,1,FTDC_CALIB_FREQUENCY,74,5,63,252,8,0,0
MasterTdc,1,GLOBAL_DISABLE_TOT_LIMIT,79,5,1,1,0,0,0
MasterTdc,1,GLOBAL_EN_BUFFER_CTDC,70,5,1,1,0,0,0
MasterTdc,1,GLOBAL_EN_BUFFER_FTDC,76,5,1,1,0,0,0
MasterTdc,1,GLOBAL_EN_TOT_PRIORITY,79,5,1,16,0,0,0
MasterTdc,1,GLOBAL_EN_TUNE_GAIN_DAC,79,5,1,32,0,0,0
MasterTdc,1,GLOBAL_FORCE_EN_CLK,79,5,1,2,0,0,0
MasterTdc,1,GLOBAL_FORCE_EN_OUTPUT_DATA,79,5,1,4,0,0,0
MasterTdc,1,GLOBAL_FORCE_EN_TOT,79,5,1,8,0,0,0
MasterTdc,1,GLOBAL_INIT_DAC_B_CTDC,72,5,1,64,0,0,0
MasterTdc,1,GLOBAL_LATENCY_TIME,65,5,15,30,20,0,0
MasterTdc,1,GLOBAL_MODE_FTDC_TOA,65,5,3,96,64,0,0
MasterTdc,1,GLOBAL_MODE_NO_TOT_SUB,65,5,1,1,0,0,0
MasterTdc,1,GLOBAL_MODE_TOA_DIRECT_OUTPUT,69,5,1,1,0,0,0
MasterTdc,1,GLOBAL_SEU_TIME_OUT,65,5,1,128,128,0,0
MasterTdc,1,GLOBAL_TA_SELECT_GAIN_TOA,64,5,15,15,7,0,0
MasterTdc,1,GLOBAL_TA_SELECT_GAIN_TOT,64,5,15,240,48,0,0
MasterTdc,1,INV_FRONT_40MHZ,66,5,1,32,0,0,0
MasterTdc,1,START_COUNTER,66,5,1,64,64,0,0
MasterTdc,1,VD_CTDC_N_D,70,5,31,124,0,0,0
MasterTdc,1,VD_CTDC_N_DAC_EN,70,5,1,128,0,0,0
MasterTdc,1,VD_CTDC_N_FORCE_MAX,70,5,1,2,2,0,0
MasterTdc,1,VD_CTDC_P_D,67,5,31,31,0,0,0
MasterTdc,1,VD_CTDC_P_DAC_EN,67,5,1,32,0,0,0
MasterTdc,1,VD_FTDC_N_D,76,5,31,124,0,0,0
MasterTdc,1,VD_FTDC_N_DAC_EN,76,5,1,128,0,0,0
MasterTdc,1,VD_FTDC_N_FORCE_MAX,76,5,1,2,2,0,0
MasterTdc,1,VD_FTDC_P_D,73,5,31,31,0,0,0
MasterTdc,1,VD_FTDC_P_DAC_EN,73,5,1,32,0,0,0
MasterTdc,1,sel_clk_rcg_toa,79,5,1,64,0,0,0
MasterTdc,1,sel_clk_rcg_tot,79,5,1,128,0,0,0
ReferenceVoltage,0,Calib,198,10,255,255,0,0,0
ReferenceVoltage,0,Calib,199,10,3840,15,0,8,1
ReferenceVoltage,0,Calib_2V5,201,10,255,255,0,0,0
ReferenceVoltage,0,Calib_2V5,202,10,3840,15,0,8,1
ReferenceVoltage,0,ExtCtest,199,10,1,128,0,0,0
ReferenceVoltage,0,ExtCtest_2V5,202,10,1,32,0,0,0
ReferenceVoltage,0,IntCtest,199,10,1,64,0,0,0
ReferenceVoltage,0,Inv_vref,193,10,3,12,0,0,0
ReferenceVoltage,0,Inv_vref,196,10,1020,255,64,2,1
ReferenceVoltage,0,Noinv_vref,193,10,3,3,0,0,0
ReferenceVoltage,0,Noinv_vref,197,10,1020,255,79,2,1
ReferenceVoltage,0,ON_dac,192,10,1,128,128,0,0
ReferenceVoltage,0,Refi,192,10,3,12,12,0,0
ReferenceVoltage,0,Toa_vref,193,10,3,48,0,0,0
ReferenceVoltage,0,Toa_vref,195,10,1020,255,28,2,1
ReferenceVoltage,0,Tot_vref,193,10,3,192,0,0,0
ReferenceVoltage,0,Tot_vref,194,10,1020,255,108,2,1
ReferenceVoltage,0,Vbg_1v,192,10,7,112,80,0,0
ReferenceVoltage,0,choice_cinj,202,10,1,64,0,0,0
ReferenceVoltage,0,cmd_120p,202,10,1,128,0,0,0
ReferenceVoltage,0,probe_dc,200,10,31,31,0,0,0
ReferenceVoltage,0,probe_dc1,200,10,3,96,0,0,0
ReferenceVoltage,0,probe_dc2,200,10,1,128,0,0,0
ReferenceVoltage,1,Calib,6,5,255,255,0,0,0
ReferenceVoltage,1,Calib,7,5,3840,15,0,8,1
ReferenceVoltage,1,Calib_2V5,9,5,255,255,0,0,0
ReferenceVoltage,1,Calib_2V5,10,5,3840,15,0,8,1
ReferenceVoltage,1,ExtCtest,7,5,1,128,0,0,0
ReferenceVoltage,1,ExtCtest_2V5,10,5,1,32,0,0,0
ReferenceVoltage,1,IntCtest,7,5,1,64,0,0,0
ReferenceVoltage,1,Inv_vref,1,5,3,12,0,0,0
ReferenceVoltage,1,Inv_vref,4,5,1020,255,64,2,1
ReferenceVoltage,1,Noinv_vref,1,5,3,3,0,0,0
ReferenceVoltage,1,Noinv_vref,5,5,1020,255,79,2,1
ReferenceVoltage,1,ON_dac,0,5,1,128,128,0,0
ReferenceVoltage,1,Refi,0,5,3,12,12,0,0
ReferenceVoltage,1,Toa_vref,1,5,3,48,0,0,0
ReferenceVoltage,1,Toa_vref,3,5,1020,255,28,2,1
ReferenceVoltage,1,Tot_vref,1,5,3,192,0,0,0
ReferenceVoltage,1,Tot_vref,2,5,1020,255,108,2,1
ReferenceVoltage,1,Vbg_1v,0,5,7,112,80,0,0
ReferenceVoltage,1,choice_cinj,10,5,1,64,0,0,0
ReferenceVoltage,1,cmd_120p,10,5,1,128,0,0,0
ReferenceVoltage,1,probe_dc,8,5,31,31,0,0,0
ReferenceVoltage,1,probe_dc1,8,5,3,96,0,0,0
ReferenceVoltage,1,probe_dc2,8,5,1,128,0,0,0
Top,0,BIAS_I_PLL_D,163,5,63,126,48,0,0
Top,0,DIV_PLL,161,5,3,6,6,0,0
Top,0,EN,165,5,7,7,3,0,0
Top,0,EN_HIGH_CAPA,163,5,1,1,1,0,0
Top,0,EN_LOCK_CONTROL,166,5,1,1,1,0,0
Top,0,EN_PLL,161,5,1,1,1,0,0
Top,0,EN_PhaseShift,166,5,1,128,128,0,0
Top,0,EN_RCG,163,5,1,128,0,0,0
